PMI2,T-score,Отношение,Слово
51.160516515795294,4.795831769704633,до_Gen,земля
49.20418043334081,4.123105808506334,до_Gen,цель
48.656337889386286,4.898979522986172,до_Gen,слух
48.27212216664807,4.242640765593462,до_Gen,ухо
47.36539098902842,4.123105676745333,до_Gen,середина
44.37224843753329,1.7320535890567685,в_Acc,время
44.225821658038505,2.000000918148106,со_Gen,сторона
43.95022674700266,2.000000758490958,до_Gen,конец
43.8036938089604,2.0000006852350958,до_Gen,город
43.157571407816825,2.828427163448099,до_Gen,луна
42.981988262344345,2.2360681550399204,на_Loc,самолет
42.901450387222816,2.0000003666378223,в_Acc,момент
42.19181173223526,2.000000224189229,до_Gen,небо
42.00399245944624,2.0000001968228465,до_Gen,берег
41.90426906941065,2.0000001836774226,до_Gen,граница
41.70621667055478,2.236068050824612,из_Gen,темнота
41.67456164800519,1.7320512363074236,из_Gen,комната
41.49609858675315,1.414215128363884,до_Gen,место
41.435746927929415,1.732051170899612,в_Acc,ответ
41.143525174420965,1.4142147888349075,до_Gen,страна
41.12148969265529,1.4142147702444707,из_Gen,мир
41.11969706989066,1.732051099420189,из_Gen,лес
41.083783227769835,1.7320510922446486,из_Gen,зал
40.99509605895784,1.7320510752717353,до_Gen,край
40.95022674700266,1.4142146350412945,в_Loc,конец
40.763253093302794,1.73205103553028,до_Gen,солнце
40.57811088341066,1.4142143911685656,до_Gen,машина
40.51096866943183,1.4142143534806801,за_Acc,час
40.4566394198921,1.4142143242429932,до_Gen,дверь
40.06739900176009,1.4142141440847606,через_Acc,минута
40.06739900176009,1.4142141440847606,в_Acc,минута
40.040321232521265,1.4142141332685068,с_Gen,улица
39.975630236369376,1.7320509396264212,до_Gen,остров
39.77369484002444,1.4142140369362437,до_Gen,окно
39.77369484002444,1.4142140369362437,сквозь_Acc,окно
39.53511347791519,1.4142139646025444,из_Gen,ряд
39.02313585908248,1.4142138444407213,со_Gen,двор
38.957708328372114,1.4142138319344275,до_Gen,море
38.83702077539327,1.4142138103019195,до_Gen,база
38.75715947229814,1.414213796950606,до_Gen,нос
38.61298836861151,2.000000018762105,до_Gen,полюс
38.579287153382786,1.4142137697409667,до_Gen,звезда
38.36276173907834,1.4142137408412874,из_Gen,глубина
38.357286609012185,1.4142137401652717,в_Acc,секунда
38.28703441291509,1.4142137317150731,до_Gen,столица
37.806207653542934,1.4142136837179455,до_Gen,дно
37.47318572877199,1.4142136587053582,до_Gen,село
36.95136281686284,1.414213629467671,до_Gen,ветка
36.589830647624254,1.414213614595322,до_Gen,наступление
36.518039964556245,1.4142136120602622,до_Gen,верх
36.24910495728277,1.4142136036100637,до_Gen,слушатель
35.272563930106756,1.4142135833295872,до_Gen,свалка
34.94772423979949,1.4142135791044879,до_Gen,паук
34.547186310215764,1.4142135750483926,до_Gen,опушка
32.566295133163464,1.4142135655841706,после_Gen,починка
Релевантные отношения:,"['до_Gen', 'в_Acc', 'со_Gen', 'на_Loc', 'из_Gen', 'в_Loc', 'за_Acc', 'через_Acc', 'с_Gen', 'сквозь_Acc', 'после_Gen']"
