Отношение,PMI
в_Loc,60.14651018169995
от_Gen,59.795765551504644
на_Loc,57.580151683488175
в_Acc,56.12858831508052
у_Gen,56.12858831508052
около_Gen,53.69562892159703
словно,53.69562892159703
как,53.52570391325841
во_Loc,52.69562892159703
после_Gen,52.473236500260576
по_Dat,51.373700826709666
с_Ins,50.88827399953942
но,45.664042578539195
Релевантные отношения:,"['в_Loc', 'от_Gen', 'на_Loc', 'в_Acc', 'у_Gen', 'около_Gen', 'словно', 'как', 'во_Loc', 'после_Gen', 'по_Dat', 'с_Ins', 'но']"
